kx,ky,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,valid
90.0,30.0,0.6316021920423454,0.62358893526938,0.6097023737644793,0.5920824595686732,0.570729192681962,0.5456425731043448,0.5043575350648547,0.4528237117087681,0.4183216659416317,0.41185973228275286,0.384567934942005,0.37934962575068465,0.36455728965564926,0.38173324964674105,0.38263520581097643,0.3651096409594663,0.34427255449370425,0.25291543766127156,0.18109072271016363,0.1322264179844985,0.1615862556714332,0.20477883283113013,0.3048503452067913,0.45741617149888314,0.6589822895600427,0.8331769751760618,0.9582278538710404,1.0127866931884448,0.9785740447192457,0.8456358582075687,0.6573552898776649,0.44085254933107026,0.2432079724471738,0.11686664435028252,0.13531664174648933,0.29181821055210594,0.5130236277474592,0.6898749359753694,0.8144687047495835,0.8432189807986176,0.8092191637498913,0.6953206296596638,0.5579914722405602,0.42407206212050624,0.3160240172782708,0.2433855603876053,0.1995734736864939,0.18341371225751976,0.19490627610068303,0.2340511652159838,0.26936519971689676,True
90.0,31.0,1.0564644756462793,0.8911929506779658,0.6656563332757208,0.48486105597392715,0.3488071187725844,0.25749452167169296,0.2830376842411577,0.36528924275234237,0.4577077200917884,0.4670534005689877,0.4338827852849565,0.3679999483640784,0.3406695323146967,0.3204257064196892,0.33512087175200955,0.2899035592637097,0.20203316512036407,0.18704078824946138,0.20461140737174607,0.2912314767981137,0.3096986054259351,0.2987899760124046,0.266882545322049,0.18793935684243757,0.20161270855766664,0.2922324705408236,0.47344445429066334,0.593463919232439,0.6449124443745815,0.6862528270293089,0.6914805822073229,0.6191288324244736,0.5534622716976717,0.5240285741945495,0.5367046224222477,0.5146519385658272,0.5284025699269719,0.6327714059845563,0.7310345392320083,0.7526343875720561,0.7063951356047795,0.5926594378871166,0.4396965397621247,0.2544018999013905,0.11737314047101921,0.05942881431926503,0.061829869495959956,0.12164141117651758,0.23886343936093765,0.41349595404922035,0.5490544593426964,True
90.0,32.0,0.02783673931223335,0.08298208005911288,0.16062210106308197,0.2281061418343506,0.2811484190729492,0.31974893277887745,0.34760443801588886,0.3330957172111654,0.3100182175952857,0.2750539481401438,0.3081695553963156,0.3374482774373542,0.3469435297235674,0.372605332229521,0.4004200227322675,0.47561806408556,0.506627392804855,0.5491441557136187,0.5890928954927209,0.5926626740131208,0.5671481056191461,0.544306565440213,0.5605889083758673,0.5524225812250052,0.48317508914134083,0.3943139817511789,0.2840320798346408,0.27789458802818606,0.29852542950486544,0.4401529820390772,0.5250778029586148,0.5998947049665395,0.5553711267637118,0.5583541398575899,0.5708858719412735,0.6433813334494612,0.5972018301313767,0.5460944321898598,0.5211210128220697,0.6327922013776229,0.749006054435135,0.86817958139442,0.884315347909436,0.851092745618095,0.7630594256651472,0.6624063015118475,0.5392054523045013,0.3820337785629057,0.19852409173537763,0.06740496282171475,0.0,True
90.0,33.0,0.5092163861449632,0.5429383496011054,0.5855625101876654,0.6122691015789185,0.623058123774865,0.6179295767755041,0.569722763141219,0.5159188329179613,0.4088607130020046,0.2764560140350945,0.1242294133322979,0.052308015029280584,0.10711101216654907,0.24094959451389947,0.3859226445810565,0.44831792453643954,0.4656533712861758,0.44782201054454807,0.5095100010124284,0.6105425644653377,0.7163212939341422,0.7510666079374074,0.6881598843831204,0.6507482277287553,0.6475193983512917,0.6946044631625996,0.6607038541177122,0.5275146209904639,0.3808150770626894,0.2559234803643819,0.2578517008895627,0.2804638094724811,0.3265182043227924,0.3472677047060538,0.3098046788253464,0.3690077071518622,0.3741339463693725,0.4978511047066339,0.5656588808877805,0.6675449010400245,0.7310419524749131,0.7650656101158109,0.7886486710546545,0.7343726287749139,0.6492893920282597,0.5336086082340921,0.4231380877803561,0.28924151522092617,0.14559259128239704,0.046575858197011294,0.0,True
90.0,34.0,0.23259451077890866,0.2209215280413883,0.20612296409060665,0.19674622045082285,0.19279129712203683,0.1942581941042485,0.20080916951752176,0.24546772443219286,0.27540755007002804,0.3442157976937866,0.42100999654901466,0.52508849962145,0.5951049349100364,0.6243869747947134,0.6612691129264405,0.6628933647558286,0.5934682784180487,0.47070148098069725,0.30007837847683666,0.21299959695371512,0.14958115105761643,0.19555187460571605,0.27280382791475677,0.372863388614916,0.48487909275403096,0.6175456806694309,0.7701102880337809,0.8766702706225972,0.8789923233144212,0.7791220255079241,0.6285608799638618,0.5032542865633257,0.48399854501628325,0.5146110506061994,0.5882180289459602,0.6063566515759691,0.6625713874936933,0.7264522819328761,0.7909116079698577,0.76056747167331,0.6056778286251882,0.4015174205619607,0.25520455235201284,0.20150182756681462,0.2032651427660843,0.2038534736984516,0.20361715630526175,0.2311944739231058,0.2865854265519839,0.36979001419189594,0.43453095095551536,True
90.0,35.0,0.16013768649104168,0.20307153640760725,0.26196895869260434,0.3098596757978988,0.3467436877234906,0.37262099446937963,0.35278198713736314,0.369306646290089,0.3940245686838488,0.46631449124895774,0.484696361127677,0.47742003580089293,0.42141479809961613,0.3681709262529442,0.3503746446075634,0.33719055190745834,0.34244322164937074,0.3759047405325698,0.41221209408325615,0.4998908897187957,0.5713228286346522,0.693456011589439,0.7568075226493183,0.7358336247079549,0.6731865121694747,0.6082151737109314,0.5642993984966247,0.49664922486230517,0.4545884063593071,0.40685284188319504,0.365356445102169,0.33883062733270153,0.3524532523574044,0.3958627566377285,0.39974923179080213,0.37363962412361,0.3702657401290761,0.4009372525247548,0.438819768154479,0.48604684495929334,0.4845332423367682,0.44893428824817605,0.38789939081890773,0.36035252111521704,0.3804630463221165,0.39385936157954005,0.37624719409058566,0.3503458608041542,0.3161553617202461,0.2736756968388615,0.24259286498544622,True
90.0,36.0,0.3546153793497177,0.3408682736548888,0.3228430150569537,0.310008556347635,0.30236489752693274,0.2999120385948468,0.29573212342911476,0.3008676748294178,0.3019628275778902,0.2831496125731012,0.2689862800644945,0.26284317507500715,0.29007999193423334,0.33026557908014326,0.3407377945896911,0.3306645929773524,0.294062666919939,0.31104147827386536,0.36298368086238647,0.4144336680018507,0.4171868144980686,0.3844188761162249,0.3350967134256323,0.3069514492331104,0.2659704700111301,0.22754097775186533,0.14990881936603356,0.09771949018113074,0.06478583236287846,0.05380901764976789,0.03935560466986545,0.014641126329881895,0.013313323755872299,0.058202785870933214,0.12148323457664792,0.2340378203715732,0.33430073435084207,0.4383819038364859,0.48721191554140403,0.49288995734152935,0.45486596153940373,0.3421459468403032,0.19933908438474335,0.08816082358976832,0.04851243214094376,0.06272159474172541,0.09802663270972026,0.17392396269127935,0.2904135846864028,0.4474954986950905,0.5657475387054037,True
90.0,37.0,0.0,0.019641995682031944,0.06525781292034726,0.13506447303793767,0.20763700167576296,0.274860594282563,0.35900030165763935,0.4435920917314442,0.5121719324344304,0.5103595621537329,0.5032687963366522,0.4753746693859143,0.4423003126795923,0.33890386340444323,0.20585691393483074,0.0867972734291835,0.061085347864176964,0.07608546949500469,0.09883469399713307,0.08850635071835276,0.0852590523968416,0.090388953667719,0.07909813359796593,0.09836192419651477,0.14397658280302192,0.2099735718347111,0.24442990894632932,0.2506140833167412,0.221327057567994,0.20690017475318384,0.21847767223892006,0.2468133334488818,0.30867471424229487,0.3602903655642512,0.43608406084955115,0.488503440908964,0.5680438937475167,0.6414892766392143,0.672708975032586,0.6134640592634155,0.5019476909991544,0.4224241946412681,0.3812968478293727,0.3184952332697891,0.2290382994828006,0.1547585082057273,0.15390421351857736,0.184927000544882,0.24782686928464123,0.3426038197378549,0.4164141472778156,True
90.0,38.0,0.03266694457784308,0.039765969485701456,0.05487666498219069,0.07891167674808326,0.11187100478337916,0.15375464908807826,0.22354594987762763,0.2868001669206128,0.34906026254329375,0.35144361807202823,0.35090285544938044,0.3915163905700681,0.4898143446974447,0.5777830718706451,0.6088501469964269,0.6065658016458102,0.5741201665135555,0.5409838378294148,0.48854227895448316,0.40657857697736466,0.3068667882552264,0.16906089141447977,0.11647561689273632,0.09328524149250036,0.12426789750369178,0.14378284044743356,0.1708244399148043,0.21649643573641172,0.2640058927170273,0.258684038721437,0.23700960602338852,0.22297826803946452,0.24464507773415659,0.2628137118382535,0.30592154883910233,0.3807136493860815,0.5058369240283759,0.6535031946673212,0.8111254623629114,0.9510319300757526,1.007394276948539,0.9644519360952193,0.8385185477640723,0.7072190419121535,0.608820293668998,0.5363230630122406,0.4596116739641646,0.37584753485885214,0.2850306456963036,0.18716100647651882,0.11956366364425028,True
90.0,39.0,0.0,0.0179527102418244,0.060590811625792024,0.1237015080271371,0.18511929307926953,0.2338986897571044,0.2664120817894642,0.2910726276486459,0.32306301080546823,0.36536549105223537,0.3798625660843191,0.40320405691350786,0.40671189564962956,0.38944216011668287,0.3192855299930874,0.24449543304122462,0.25061509967351914,0.28820080563195216,0.32409911553347853,0.31054258745203267,0.29357641209868973,0.3051653674644011,0.3196022244662804,0.32664155892155666,0.3151785268858618,0.27573035722727274,0.2568727186927289,0.22345106412816296,0.2601731388910683,0.2424214875673275,0.22432191019236652,0.19889614520759538,0.24509394257135872,0.34292177121263834,0.41419866077344,0.4370145179860218,0.4279283658281744,0.3892765098650017,0.3405399917383811,0.27176613968983443,0.19851329170319193,0.11059383812716735,0.041191353434565765,0.020003743466531745,0.06083932600159393,0.1290927257946435,0.2164841320656976,0.3236334729051225,0.4505407483129182,0.5972059582890844,0.7015687431293188,True
90.0,40.0,0.008431918401184752,0.031138159677805102,0.06568183924883861,0.10119415413207807,0.12939581527225022,0.1502868226693548,0.14983310665634197,0.15722781977357247,0.1649007276199483,0.2044332527479006,0.2290527839859236,0.2266023576548731,0.20487071562258058,0.17299035480614208,0.14230965442500773,0.13598309079834692,0.1341077462864783,0.14083371938663988,0.10409238825148823,0.07001174604936476,0.056407906696021186,0.06352151008170598,0.059692666133726605,0.050673217893773756,0.0678075314647468,0.07752873251136987,0.11749122267242758,0.136517719868296,0.189865115983151,0.24094064765247533,0.2995906896020918,0.32785424301276017,0.359407172169793,0.37853603908569694,0.4011711344255292,0.38416222237064573,0.30322680360372983,0.2226950040360961,0.16283888226167464,0.167570832537571,0.2056092502179779,0.25192584523971806,0.2911474623728242,0.29518905417051977,0.26584890372213293,0.22716962560004894,0.18767217700800143,0.138649967150185,0.08010299602659986,0.03282803350256389,0.005068728019722976,True
90.0,41.0,0.17519332107851054,0.23258366828639462,0.312774268520429,0.38117502759888,0.4377859455217475,0.48260702228903124,0.5028716888385896,0.5069571423590006,0.5034032162419301,0.512873815088668,0.4901117987779738,0.4642112917040231,0.42329078548646903,0.3983570902852637,0.3416862585501636,0.30788869478449904,0.26067980128653817,0.23281652246070295,0.18281434034922367,0.1358809473901758,0.09731297440672367,0.06503149760180706,0.09984002778475032,0.1836084874475187,0.26856363904107605,0.31835989974113277,0.3649384165586643,0.4090515588632182,0.44548693208154116,0.4500538099360404,0.42730727715479633,0.3867613085040773,0.34461117142612646,0.3553739990697132,0.4083513522396466,0.4400049409938929,0.4169279656350328,0.34663181796160264,0.2871121389835187,0.23199781845395764,0.18119496063436089,0.14966878566941025,0.11692613172734319,0.13340757834871028,0.1361311737927835,0.1721120575098994,0.18823933023203218,0.21015138363556463,0.23784821772049689,0.27132983248682896,0.2955791692248503,True
90.0,42.0,1.1147669577718546,0.9698991942738188,0.7678081023968352,0.5961381172599918,0.45488923886328864,0.34406146720672537,0.2815265749167514,0.22941765372245443,0.20518629849581288,0.2112507374205812,0.21879394095031027,0.21922039345149424,0.15505895620760451,0.12365316148624182,0.09264913760793182,0.1434433780494694,0.2046784925855734,0.24600641752501565,0.2942744722861253,0.3478632115371057,0.39205118170991804,0.39669142138992647,0.3899082741511715,0.45480229550789203,0.4997581163140033,0.5360252331219908,0.5234286919976178,0.5063131870325545,0.4562817480284312,0.3985663152489525,0.3560540679873836,0.3166700842610771,0.2739371762948708,0.26800895099343314,0.28997744728775576,0.36260617710753157,0.39247374369473975,0.38887983133474785,0.3149237944971859,0.2579604061461702,0.22112903725062893,0.2774044069007788,0.32756504084839094,0.4128220583635578,0.4435036993763338,0.4509326121405403,0.4165022512914982,0.3606541219707078,0.2833882241781695,0.18470455791388327,0.11177619091377644,True
90.0,43.0,0.2955642913547085,0.3083739666855047,0.32372806328316356,0.33136132708375177,0.3312737580872691,0.3234653562937155,0.2915308264347068,0.2657937066139563,0.23918421218676464,0.2512892360222364,0.21739640558569634,0.19877918484599486,0.14312579635357334,0.1596158108029919,0.18697643585273446,0.26768666605624175,0.29043235806521556,0.29845003171031087,0.3028605044141173,0.3267855761960142,0.3563981724629475,0.34598577018172244,0.3541465912335999,0.43094505918089715,0.530994173867579,0.6594644216444377,0.6983805627006362,0.6866683651443366,0.5997656792205339,0.4925059356674051,0.44570113700381103,0.4096879664758876,0.3849052734632096,0.32679872229476525,0.3093163438640229,0.252492069959752,0.24616400850278403,0.26303755053567096,0.3442434860100482,0.38587103957971675,0.39556006890278056,0.37238877119272384,0.3626983830811259,0.34580596405848146,0.3495912455205375,0.3299976735507932,0.29403883359045224,0.24065583838409704,0.16984868793172803,0.08769405788747194,0.02914181132733884,True
90.0,44.0,0.04183469648159973,0.08613706313433749,0.1521929026068873,0.21745332106632348,0.281918318512646,0.3455878949458545,0.4130204416417324,0.49255100011667674,0.5566196044780231,0.6260162934987921,0.6711678205397322,0.6800822930232219,0.6017174437225395,0.48319843932491546,0.3626469872168675,0.3265000876567257,0.3482126532228328,0.41612319587823143,0.47329777349195057,0.5299923195042344,0.5622700784924461,0.5449075236200682,0.48050650396498173,0.3720251481056224,0.2559487942594773,0.15981935164740896,0.10155416573772713,0.08365564401904647,0.04433156849503013,0.022215786982455122,0.0,0.035228425924737856,0.13172814543786646,0.2776647345863713,0.45008153309192617,0.5842507236937022,0.6998515181305179,0.7508013050699766,0.765274424717646,0.7095373542393414,0.5504742245792699,0.38283858069209264,0.25846933422055063,0.2600797677191989,0.27456108750608166,0.27666141018287344,0.2512924611328321,0.22801839167089596,0.2068392017970653,0.18775489151134012,0.17573031118355853,True
